id,type,source,status,budget_kb,notes,licence
char_body,char,CC0 pack,existing-review,160,Quaternius UAL Standard; 1 skin; 1 mesh; 67 nodes; source public/models/character/UAL1_Standard.glb; 3000 triangles max,CC0
char_body_lod1,char,Blender script,planned,70,character_prepare.py; shared 900-triangle body; same rig
char_blank_head,char,Blender script,planned,8,character_prepare.py; one swappable blank head; 0.2833 m height
anim_idle,char,CC0 pack,existing,100,Idle_Loop mapped to idle; crop to 2.4s; strip root motion,CC0
anim_walk,char,CC0 pack,existing,100,Walk_Loop mapped to walk; crop to 1s; strip root motion,CC0
anim_run,char,CC0 pack,existing,100,Jog_Fwd_Loop mapped to run; crop to 0.7s; strip root motion,CC0
anim_talk-gesture,char,CC0 pack,existing,100,Idle_Talking_Loop mapped to talk; crop to 2s; strip root motion,CC0
anim_carry,char,Blender script,planned,100,character_prepare.py authors carry-idle and carry-walk on UAL rig; strip root motion,project-authored
anim_pickup,char,CC0 pack,existing,100,PickUp_Table mapped to pickup; Interact retained as verified helper clip,CC0
anim_wave,char,Blender script,planned,100,character_prepare.py authors missing wave on UAL rig; 1.2s,project-authored
anim_nod,char,Blender script,planned,100,character_prepare.py authors missing nod on UAL rig; 0.7s,project-authored
anim_shake-head,char,Blender script,planned,100,character_prepare.py authors missing shake on UAL rig; 0.8s,project-authored
anim_sit,char,CC0 pack,existing,100,Sitting_Idle_Loop plus Sitting_Enter and Sitting_Exit mapped to sit,CC0
char_player,char,Blender script,planned,5,ART character material/accessory recipe; aliases char_body/char_body_lod1 and shared anim clips; no duplicate geometry
char_landlord,char,Blender script,planned,5,ART character material/accessory recipe; aliases char_body/char_body_lod1 and shared anim clips; no duplicate geometry
char_mentor,char,Blender script,planned,5,ART character material/accessory recipe; aliases char_body/char_body_lod1 and shared anim clips; no duplicate geometry
char_cook,char,Blender script,planned,5,ART character material/accessory recipe; aliases char_body/char_body_lod1 and shared anim clips; no duplicate geometry
char_warehouse_boss,char,Blender script,planned,5,ART character material/accessory recipe; aliases char_body/char_body_lod1 and shared anim clips; no duplicate geometry
char_delivery_boss,char,Blender script,planned,5,ART character material/accessory recipe; aliases char_body/char_body_lod1 and shared anim clips; no duplicate geometry
char_fruit_seller,char,Blender script,planned,5,ART character material/accessory recipe; aliases char_body/char_body_lod1 and shared anim clips; no duplicate geometry
char_shopkeeper,char,Blender script,planned,5,ART character material/accessory recipe; aliases char_body/char_body_lod1 and shared anim clips; no duplicate geometry
char_customer,char,Blender script,planned,5,ART character material/accessory recipe; aliases char_body/char_body_lod1 and shared anim clips; no duplicate geometry
district_ground,building,Blender script,planned,100,buildings.py; 60x40m paving and border shell; no text textures
building_room,building,Blender script,planned,180,buildings.py; GDD footprint; shell floor/walls/roof only; 8000 triangle cap
building_room_lod1,building,Blender script,planned,60,Same footprint and sockets; 2000 triangle cap
building_noodle,building,Blender script,planned,180,buildings.py; GDD footprint; shell floor/walls/roof only; 8000 triangle cap
building_noodle_lod1,building,Blender script,planned,60,Same footprint and sockets; 2000 triangle cap
building_fruit,building,Blender script,planned,180,buildings.py; GDD footprint; shell floor/walls/roof only; 8000 triangle cap
building_fruit_lod1,building,Blender script,planned,60,Same footprint and sockets; 2000 triangle cap
